speed,acceleration,weight,handling,driver,vehicle
3,18,4,15,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa","Standard Bike, Cute Scoot, Tune Thumper"
4,17,4,15,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa","Rally Bike, Hyper Pipe, Fin Twin, Dolphin Dasher"
4,17,5,14,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa, Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby","Pipe Frame, Standard Bike, Cute Scoot, Tune Thumper"
5,16,4,15,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa","Mach Rocket, R.O.B. H.O.G."
5,16,5,14,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa, Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby","Biddybuggy, Rally Bike, Hyper Pipe, Fin Twin, Dolphin Dasher"
6,15,5,14,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa, Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby","Baby Blooper, Loco Moto, Mach Rocket, R.O.B. H.O.G."
7,14,6,13,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa, Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby, Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin, Baby Peach, Baby Daisy, Para-Biddybud, Swoop","Standard Kart, Plushbuggy, Baby Blooper, Loco Moto, Mach Rocket, R.O.B. H.O.G., Rally Kart, Zoom Buggy, Hot Rod, Ribbit Revster, Roadster Royale, B Dasher, Bumble V, Carpet Flyer, Cloud 9"
7,15,7,11,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa, Baby Peach, Baby Daisy, Para-Biddybud, Swoop","Blastronaut III, Funky Dorrie"
8,12,7,13,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Dread Sled
8,13,7,12,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa, Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby, Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin, Mario, Luigi, Birdo, Hammer Bro, Penguin, Rocky Wrench, Pokey","Rally Kart, Zoom Buggy, Hot Rod, Ribbit Revster, Roadster Royale, B Dasher, Bumble V, Carpet Flyer, Cloud 9, Standard Kart, Plushbuggy, Baby Blooper, Loco Moto, Mach Rocket, R.O.B. H.O.G."
8,14,8,10,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa, Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby","Funky Dorrie, Blastronaut III"
9,11,9,11,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa","Big Horn, Billdozer"
9,12,6,13,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",W-Twin Chopper
9,12,10,9,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa, Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Rallygator, Pipe Frame"
10,10,9,11,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa, Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin","Chargin' Truck, Tiny Titan, Li'l Dumpy, Mecha Trike, Bowser Bruiser, Dread Sled"
10,11,7,12,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa, Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby","Reel Racer, W-Twin Chopper"
10,11,10,9,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa, Wario, Waluigi, Donkey Kong, Wiggler, Cow, Chargin' Chuck, Pianta","Lobster Roller, Biddybuggy"
10,12,8,10,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Junkyard Hog
11,9,9,11,"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Stellar Sled
5,16,6,13,"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby, Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin","Pipe Frame, Standard Bike, Cute Scoot, Tune Thumper"
6,15,6,13,"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby, Peach, Daisy, Yoshi, Bowser Jr., Monty Mole, Coin Coffer, Dolphin","Biddybuggy, Rally Bike, Hyper Pipe, Fin Twin, Dolphin Dasher"
9,11,8,12,"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby",Dread Sled
