driver,vehicle,speed,acceleration,weight,handling
Baby Mario,Standard Bike,3,18,4,15
Baby Mario,Cute Scoot,3,18,4,15
Baby Mario,Tune Thumper,3,18,4,15
Baby Mario,Rally Bike,4,17,4,15
Baby Mario,Hyper Pipe,4,17,4,15
Baby Mario,Fin Twin,4,17,4,15
Baby Mario,Dolphin Dasher,4,17,4,15
Baby Mario,Pipe Frame,4,17,5,14
Baby Mario,Mach Rocket,5,16,4,15
Baby Mario,R.O.B. H.O.G.,5,16,4,15
Baby Mario,Biddybuggy,5,16,5,14
Baby Mario,Baby Blooper,6,15,5,14
Baby Mario,Loco Moto,6,15,5,14
Baby Mario,Standard Kart,7,14,6,13
Baby Mario,Plushbuggy,7,14,6,13
Baby Mario,Blastronaut III,7,15,7,11
Baby Mario,Dread Sled,8,12,7,13
Baby Mario,Rally Kart,8,13,7,12
Baby Mario,Zoom Buggy,8,13,7,12
Baby Mario,Hot Rod,8,13,7,12
Baby Mario,Ribbit Revster,8,13,7,12
Baby Mario,Roadster Royale,8,13,7,12
Baby Mario,B Dasher,8,13,7,12
Baby Mario,Bumble V,8,13,7,12
Baby Mario,Carpet Flyer,8,13,7,12
Baby Mario,Cloud 9,8,13,7,12
Baby Mario,Funky Dorrie,8,14,8,10
Baby Mario,Big Horn,9,11,9,11
Baby Mario,Billdozer,9,11,9,11
Baby Mario,W-Twin Chopper,9,12,6,13
Baby Mario,Rallygator,9,12,10,9
Baby Mario,Chargin' Truck,10,10,9,11
Baby Mario,Tiny Titan,10,10,9,11
Baby Mario,Li'l Dumpy,10,10,9,11
Baby Mario,Mecha Trike,10,10,9,11
Baby Mario,Bowser Bruiser,10,10,9,11
Baby Mario,Reel Racer,10,11,7,12
Baby Mario,Lobster Roller,10,11,10,9
Baby Mario,Junkyard Hog,10,12,8,10
Baby Mario,Stellar Sled,11,9,9,11
Baby Luigi,Standard Bike,3,18,4,15
Baby Luigi,Cute Scoot,3,18,4,15
Baby Luigi,Tune Thumper,3,18,4,15
Baby Luigi,Rally Bike,4,17,4,15
Baby Luigi,Hyper Pipe,4,17,4,15
Baby Luigi,Fin Twin,4,17,4,15
Baby Luigi,Dolphin Dasher,4,17,4,15
Baby Luigi,Pipe Frame,4,17,5,14
Baby Luigi,Mach Rocket,5,16,4,15
Baby Luigi,R.O.B. H.O.G.,5,16,4,15
Baby Luigi,Biddybuggy,5,16,5,14
Baby Luigi,Baby Blooper,6,15,5,14
Baby Luigi,Loco Moto,6,15,5,14
Baby Luigi,Standard Kart,7,14,6,13
Baby Luigi,Plushbuggy,7,14,6,13
Baby Luigi,Blastronaut III,7,15,7,11
Baby Luigi,Dread Sled,8,12,7,13
Baby Luigi,Rally Kart,8,13,7,12
Baby Luigi,Zoom Buggy,8,13,7,12
Baby Luigi,Hot Rod,8,13,7,12
Baby Luigi,Ribbit Revster,8,13,7,12
Baby Luigi,Roadster Royale,8,13,7,12
Baby Luigi,B Dasher,8,13,7,12
Baby Luigi,Bumble V,8,13,7,12
Baby Luigi,Carpet Flyer,8,13,7,12
Baby Luigi,Cloud 9,8,13,7,12
Baby Luigi,Funky Dorrie,8,14,8,10
Baby Luigi,Big Horn,9,11,9,11
Baby Luigi,Billdozer,9,11,9,11
Baby Luigi,W-Twin Chopper,9,12,6,13
Baby Luigi,Rallygator,9,12,10,9
Baby Luigi,Chargin' Truck,10,10,9,11
Baby Luigi,Tiny Titan,10,10,9,11
Baby Luigi,Li'l Dumpy,10,10,9,11
Baby Luigi,Mecha Trike,10,10,9,11
Baby Luigi,Bowser Bruiser,10,10,9,11
Baby Luigi,Reel Racer,10,11,7,12
Baby Luigi,Lobster Roller,10,11,10,9
Baby Luigi,Junkyard Hog,10,12,8,10
Baby Luigi,Stellar Sled,11,9,9,11
Baby Rosalina,Standard Bike,3,18,4,15
Baby Rosalina,Cute Scoot,3,18,4,15
Baby Rosalina,Tune Thumper,3,18,4,15
Baby Rosalina,Rally Bike,4,17,4,15
Baby Rosalina,Hyper Pipe,4,17,4,15
Baby Rosalina,Fin Twin,4,17,4,15
Baby Rosalina,Dolphin Dasher,4,17,4,15
Baby Rosalina,Pipe Frame,4,17,5,14
Baby Rosalina,Mach Rocket,5,16,4,15
Baby Rosalina,R.O.B. H.O.G.,5,16,4,15
Baby Rosalina,Biddybuggy,5,16,5,14
