driver,vehicle,speed,acceleration,weight,handling
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa","Standard Bike, Cute Scoot, Tune Thumper",3,18,4,15
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa","Rally Bike, Hyper Pipe, Fin Twin, Dolphin Dasher",4,17,4,15
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Pipe Frame,4,17,5,14
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa","Mach Rocket, R.O.B. H.O.G.",5,16,4,15
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Biddybuggy,5,16,5,14
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa","Baby Blooper, Loco Moto",6,15,5,14
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa","Standard Kart, Plushbuggy",7,14,6,13
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Blastronaut III,7,15,7,11
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Dread Sled,8,12,7,13
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa","Rally Kart, Zoom Buggy, Hot Rod, Ribbit Revster, Roadster Royale, B Dasher, Bumble V, Carpet Flyer, Cloud 9",8,13,7,12
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Funky Dorrie,8,14,8,10
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa","Big Horn, Billdozer",9,11,9,11
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",W-Twin Chopper,9,12,6,13
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Rallygator,9,12,10,9
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa","Chargin' Truck, Tiny Titan, Li'l Dumpy, Mecha Trike, Bowser Bruiser",10,10,9,11
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Reel Racer,10,11,7,12
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Lobster Roller,10,11,10,9
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Junkyard Hog,10,12,8,10
"Baby Mario, Baby Luigi, Baby Rosalina, Goomba, Dry Bones, Sidestepper, Spike, Fish Bone, Peepa",Stellar Sled,11,9,9,11
"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby","Standard Bike, Cute Scoot, Tune Thumper",4,17,5,14
"Toad, Toadette, Koopa Troopa, Shy Guy, Lakitu, Nabbit, Cheep Cheep, Stingby","Rally Bike, Hyper Pipe, Fin Twin, Dolphin Dasher",5,16,5,14
