driver,speed,acceleration,weight,handling
Baby Peach*,3,10,2,9
Baby Daisy*,3,10,2,9
Para-Biddybud*,3,10,2,9
Swoop*,3,10,2,9
Baby Mario,3,9,3,9
Baby Luigi,3,9,3,9
Baby Rosalina,3,9,3,9
Goomba,3,9,3,9
Dry Bones,3,9,3,9
Sidestepper,3,9,3,9
Spike,3,9,3,9
Fish Bone,3,9,3,9
Peepa,3,9,3,9
Toad,4,8,4,8
Toadette,4,8,4,8
Koopa Troopa,4,8,4,8
Shy Guy,4,8,4,8
Lakitu,4,8,4,8
Nabbit,4,8,4,8
Cheep Cheep,4,8,4,8
Stingby,4,8,4,8
Peach,5,7,5,7
Daisy,5,7,5,7
Yoshi,5,7,5,7
Bowser Jr.,5,7,5,7
Monty Mole,5,7,5,7
Coin Coffer,5,7,5,7
Dolphin,5,7,5,7
Mario,6,6,6,6
Luigi,6,6,6,6
Birdo,6,6,6,6
Hammer Bro,6,6,6,6
Penguin,6,6,6,6
Rocky Wrench,6,6,6,6
Pokey,6,6,6,6
Rosalina,7,5,7,5
Pauline,7,5,7,5
King Boo,7,5,7,5
Piranha Plant,7,5,7,5
Snowman,7,5,7,5
Cataquack,7,5,7,5
Conkdor,7,5,7,5
Wario,8,4,8,4
Waluigi,8,4,8,4
Donkey Kong,8,4,8,4
Wiggler,8,4,8,4
Cow,8,4,8,4
Chargin' Chuck,8,4,8,4
Pianta,8,4,8,4
Bowser*,9,3,9,3
