category,total_attempts,cc,version,patch_number,waves,items,segment_id,segment_name,attempt_id,attempt_started,attempt_ended,attempt_real_time,attempt_game_time,segment_real_time,segment_game_time,best_segment_real_time,best_segment_game_time,breaks,individual_cup
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,1,bAtD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,2,bDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,3,bMH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,4,bSCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,5,bLAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,6,bSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,7,bKC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,8,bVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,9,bRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,10,bDKM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,11,bDCt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,12,bPPC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,13,bMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 Tracks (DLC),0,150cc,Digital,2.3.0+,Waves 5+6,No Items,14,bRIW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
